id,r,g,b,hex,per
0,184,36,35,#b82423,0.06262626262626263
1,179,167,146,#b3a792,0.044444444444444446
2,51,80,73,#335049,0.028282828282828285
3,223,169,24,#dfa918,0.052525252525252523
4,23,113,187,#1771bb,0.026262626262626262
5,230,233,225,#e6e9e1,0.10101010101010101
6,142,29,19,#8e1d13,0.044444444444444446
7,156,108,26,#9c6c1a,0.04040404040404041
8,65,44,29,#412c1d,0.05656565656565657
9,152,137,114,#988972,0.044444444444444446
10,31,177,215,#1fb1d7,0.01616161616161616
11,236,212,106,#ecd46a,0.026262626262626262
12,19,52,109,#13346d,0.044444444444444446
13,99,59,33,#633b21,0.06868686868686869
14,96,100,64,#606440,0.028282828282828285
15,188,123,32,#bc7b20,0.05454545454545454
16,88,189,150,#58bd96,0.010101010101010102
17,153,175,191,#99afbf,0.030303030303030304
18,209,200,169,#d1c8a9,0.046464646464646465
19,31,145,46,#1f912e,0.010101010101010102
20,33,80,153,#215099,0.044444444444444446
21,121,120,104,#797868,0.050505050505050504
22,73,134,196,#4986c4,0.020202020202020204
23,236,207,29,#eccf1d,0.048484848484848485